"id_penjualan","id_invoice","tanggal","id_barang","nama_barang","harga","unit","jumlah_barang","total_harga_per_barang","mata_uang","kode_barang","id_customer","nama_customer","cabang_sales","id_distributor","group_category"
"IN5997_BRG0001","IN5997","2022-01-20","BRG0001","ACYCLOVIR DUS",1169.91,"DUS",1,1169.91,"IDR","BRG0001","CUST55380","APOTEK TAPAK","Aceh","TD","Apotek"
"IN6297_BRG0002","IN6297","2022-01-20","BRG0002","ALERGINE TABLET SALUT",2337.5,"DUS",5,11687.5,"IDR","BRG0002","CUST55381","APOTEK MAJA","Kuningan","TD","Apotek"
"IN6155_BRG0003","IN6155","2022-01-21","BRG0003","AMPICILLIN",10690.6,"DUS",9,96215.4,"IDR","BRG0003","CUST55382","KLINIK GM","Jakarta","TA","Klinik"
"IN6144_BRG0004","IN6144","2022-01-22","BRG0004","TRAMADOL KAPSUL 50 MG",8700.7,"DUS",13,113109.1,"IDR","BRG0004","CUST55383","APOTEK MERDEKA","Bandung","EPM","Apotek"
"IN6280_BRG0005","IN6280","2022-01-23","BRG0005","KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",5648.3,"DUS",1,5648.3,"IDR","BRG0005","CUST55384","KLINIK SAHABAT","Tangerang","TD","Klinik"
"IN6052_BRG0006","IN6052","2022-01-23","BRG0006","KETOCONAZOLE TABLET 200 MG",2819.2,"DUS",5,14096.0,"IDR","BRG0006","CUST55385","APOTEK SINAR JAYA","Bekasi","TA","Apotek"
"IN6089_BRG0007","IN6089","2022-01-25","BRG0007","ERGOTAMINE COFFEINE",4592.1,"DUS",9,41328.9,"IDR","BRG0007","CUST55386","APOTEK SAHABAT","Padang","EPM","Apotek"
"IN6251_BRG0008","IN6251","2022-01-23","BRG0008","TETRACYCLINE KAPSUL 250 MG",3991.9,"DUS",1,3991.9,"IDR","BRG0008","CUST55387","APOTEK TAPAK","Aceh","TD","Apotek"
"IN6036_BRG0009","IN6036","2022-01-27","BRG0009","AMBROXOL HC",5780.7,"DUS",23,132956.1,"IDR","BRG0009","CUST55388","APOTEK MAJA","Kuningan","TA","Apotek"
"IN6029_BRG0010","IN6029","2022-01-28","BRG0010","PARACETAMOL",6940.3,"DUS",4,27761.2,"IDR","BRG0010","CUST55389","KLINIK GM","Jakarta","EPM","Klinik"
"IN6190_BRG0001","IN6190","2022-01-23","BRG0001","ACYCLOVIR DUS",1169.91,"DUS",2,2339.82,"IDR","BRG0001","CUST55390","APOTEK MERDEKA","Bandung","TD","Apotek"
